name,description,url,downloads,owners,owners_urls
milc,Opinionated Batteries-Included Python 3 CLI Framework.,https://pypi.org/project/milc/,124577,"qmk,skully","https://pypi.org/user/qmk/,https://pypi.org/user/skully/"
itk-skullstripping,Automatic skull-stripping for neuroimage analysis,https://pypi.org/project/itk-skullstripping/,10253,"dzenanz,thewtex","https://pypi.org/user/dzenanz/,https://pypi.org/user/thewtex/"
microwinebar,MicroWineBar,https://pypi.org/project/microwinebar/,3397,klincke,https://pypi.org/user/klincke/
rdsr-navigator,Package for extracting data from DICOM RDSR files,https://pypi.org/project/rdsr-navigator/,31078,robertv,https://pypi.org/user/robertv/
hanlp-trie,HanLP: Han Language Processing,https://pypi.org/project/hanlp-trie/,11596,hankcs,https://pypi.org/user/hankcs/
scipion-em-pwperformance,Python module to provide performance analysis tools and storage of the metrics for a further comparison,https://pypi.org/project/scipion-em-pwperformance/,2437,scipion,https://pypi.org/user/scipion/
feature-merge,Merge overlapping features of GFF/GTF files.,https://pypi.org/project/feature-merge/,8122,"brinkmanlab,innovate-invent","https://pypi.org/user/brinkmanlab/,https://pypi.org/user/innovate-invent/"
napari-aicsimageio,AICSImageIO for napari. Multiple file format reading directly into napari using pure Python.,https://pypi.org/project/napari-aicsimageio/,12825,aicspypi,https://pypi.org/user/aicspypi/
taxonomy,"Routines for loading, saving, and manipulating taxonomic trees",https://pypi.org/project/taxonomy/,48237,referencegenomics,https://pypi.org/user/referencegenomics/
Sunflower,model transcription factor binding to DNA,https://pypi.org/project/Sunflower/,12497,hoffman,https://pypi.org/user/hoffman/
nam-pt,Neural Additive Models (PyTorch): Intepretable ML with Neural Nets,https://pypi.org/project/nam-pt/,1485,kherud,https://pypi.org/user/kherud/
moarchiving,Biobjective Archive class with hypervolume indicator and uncrowded hypervolume improvement computation,https://pypi.org/project/moarchiving/,4969,"cheikh_toure,Nikolaus.Hansen","https://pypi.org/user/cheikh_toure/,https://pypi.org/user/Nikolaus.Hansen/"
pymatgen-diffusion,Add-on to pymatgen for diffusion analysis.,https://pypi.org/project/pymatgen-diffusion/,80586,Shyue.Ping.Ong,https://pypi.org/user/Shyue.Ping.Ong/
tensorflow-scientific,Scientific modeling in TensorFlow,https://pypi.org/project/tensorflow-scientific/,5567,mukeshmithrakumar,https://pypi.org/user/mukeshmithrakumar/
regain,REGAIN (Regularised Graph Inference),https://pypi.org/project/regain/,59414,fdtomasi,https://pypi.org/user/fdtomasi/
times2,"Times2 is a small, minimalistic, Python library for dealing with time conversions between universal time and arbitrary timezones.",https://pypi.org/project/times2/,15297,marcinn,https://pypi.org/user/marcinn/
gene2word,Geneset translation library,https://pypi.org/project/gene2word/,1140,dbbs-lab,https://pypi.org/user/dbbs-lab/
yaqd-vici,yaq support for VICI hardware,https://pypi.org/project/yaqd-vici/,1585,"ksunden,untzag","https://pypi.org/user/ksunden/,https://pypi.org/user/untzag/"
knockknock,Be notified when your training is complete with only two additional lines of code,https://pypi.org/project/knockknock/,70793,VictorSanh,https://pypi.org/user/VictorSanh/
edrnsite.funding,EDRN Funding Opportunities,https://pypi.org/project/edrnsite.funding/,9254,"mattmann,nutjob,yuliu123","https://pypi.org/user/mattmann/,https://pypi.org/user/nutjob/,https://pypi.org/user/yuliu123/"
pyconmech,py bindings for conmech: a C++ lib for 3D frame elastis deformation analysis.,https://pypi.org/project/pyconmech/,12046,yijiangh,https://pypi.org/user/yijiangh/
Deep-Motility,Deep Learning methods for the classification and segmentation of motility images,https://pypi.org/project/Deep-Motility/,6937,joheras,https://pypi.org/user/joheras/
GSVA,Python CLI and module for running the GSVA R bioconductor package with Python Pandas inputs and outputs.,https://pypi.org/project/GSVA/,48928,jason-weirather,https://pypi.org/user/jason-weirather/
CAMSA,CAMSA: a tool for Comparative Analysis and Merging of Scaffold Assemblies,https://pypi.org/project/CAMSA/,347755,aganezov,https://pypi.org/user/aganezov/
gmsh-sdk-git,Gmsh SDK installer (installs current git snapshot). Gmsh is a three-dimensional finite element mesh generator.,https://pypi.org/project/gmsh-sdk-git/,1401,mwojc,https://pypi.org/user/mwojc/
mmtfPyspark,Methods for parallel and distributed analysis and mining of the Protein Data Bank using MMTF and Apache Spark,https://pypi.org/project/mmtfPyspark/,40064,"marshuang80,PeterRose","https://pypi.org/user/marshuang80/,https://pypi.org/user/PeterRose/"
study,Framework for building data studies in a pipe-and-filter style that abstracts over issues such as multiprocessing.,https://pypi.org/project/study/,9663,alamaison,https://pypi.org/user/alamaison/
lose,A helper package for handling data using hdf5 format,https://pypi.org/project/lose/,52683,okawo,https://pypi.org/user/okawo/
cfpq-data,Python package containing Graphs and Grammars for experimental analysis of Context-Free Path Querying algorithms,https://pypi.org/project/cfpq-data/,5934,vdshk,https://pypi.org/user/vdshk/
fpzip,"Numpy wrapper for fpzip algorithm (P. Lindstrom & M. Isenburg, 2006)",https://pypi.org/project/fpzip/,130095,willsilversmith,https://pypi.org/user/willsilversmith/
sfeprapy,Structural Fire Engineering - Probabilistic Reliability Assessment (Equivalent Time Exposure),https://pypi.org/project/sfeprapy/,65876,fuyans,https://pypi.org/user/fuyans/
smiview,"smiview is a command-line, text-mode tool to show the structure of a SMILES string.",https://pypi.org/project/smiview/,3803,dalke,https://pypi.org/user/dalke/
anthpy,Anthony's python utils,https://pypi.org/project/anthpy/,6253,aagnone,https://pypi.org/user/aagnone/
laser-keep-alive,Keeping the original LASER project alive,https://pypi.org/project/laser-keep-alive/,2318,mingruimingrui,https://pypi.org/user/mingruimingrui/
pygoogleearth,Python wrapper for Google Earth COM API,https://pypi.org/project/pygoogleearth/,36744,paul.osborne,https://pypi.org/user/paul.osborne/
pytorch-fast-transformers,Provide a library with fast transformer implementations.,https://pypi.org/project/pytorch-fast-transformers/,30646,katharas,https://pypi.org/user/katharas/
permutation,Permutations of finitely many positive integers,https://pypi.org/project/permutation/,16896,jwodder,https://pypi.org/user/jwodder/
pclimareq2,Módulo para recuperação de dados climáticos do PCBr.,https://pypi.org/project/pclimareq2/,243,felipeodorizi,https://pypi.org/user/felipeodorizi/
IsoSpecPy,Python interface to IsoSpec++ isotopic envelope calculator library,https://pypi.org/project/IsoSpecPy/,83070,michalsta,https://pypi.org/user/michalsta/
meteoserver,A Python module to obtain and read Dutch weather data from Meteoserver.nl,https://pypi.org/project/meteoserver/,17072,MarcvdSluys,https://pypi.org/user/MarcvdSluys/
mobula,A Lightweight & Flexible Deep Learning (Neural Network) Framework in Python,https://pypi.org/project/mobula/,6192,wkcn,https://pypi.org/user/wkcn/
pytorch-quant-tool,An experimental neural network quantization environment in Pytorch.,https://pypi.org/project/pytorch-quant-tool/,2893,neolinsu,https://pypi.org/user/neolinsu/
aleatoire,System reliability analysis.,https://pypi.org/project/aleatoire/,1340,claudioperez,https://pypi.org/user/claudioperez/
autovega,An IPython/Jupyter notebook widget for quick visualization of Pandas dataframes,https://pypi.org/project/autovega/,3540,tkb,https://pypi.org/user/tkb/
pymechtest,Python package to automate the boring bits of mechanical test data analysis!,https://pypi.org/project/pymechtest/,3929,FollowTheProcess,https://pypi.org/user/FollowTheProcess/
richdem,High-Performance Terrain Analysis,https://pypi.org/project/richdem/,424947,rbarnes,https://pypi.org/user/rbarnes/
conwhat,python library for connectome-based white matter atlas analyses in neuroimaging,https://pypi.org/project/conwhat/,6453,raamana,https://pypi.org/user/raamana/
pyhdtoolkit,An all-in-one toolkit package to easy my Python work in my PhD.,https://pypi.org/project/pyhdtoolkit/,19962,fsoubele,https://pypi.org/user/fsoubele/
hankl,Lightweight FFTLog for Cosmology,https://pypi.org/project/hankl/,3519,minaskar,https://pypi.org/user/minaskar/
cryptory,Retrieve historical cryptocurrency and other related data,https://pypi.org/project/cryptory/,8190,dashee,https://pypi.org/user/dashee/
jasmin_cis,JASMIN Community Inter-comparison Suite,https://pypi.org/project/jasmin_cis/,43230,"AgStephens,philipkershaw,spascoe","https://pypi.org/user/AgStephens/,https://pypi.org/user/philipkershaw/,https://pypi.org/user/spascoe/"
comp-chem-py,Computational chemistry library in python,https://pypi.org/project/comp-chem-py/,3338,pablobaudin,https://pypi.org/user/pablobaudin/
parse-fmt,"A Python parser for CASTEP fmt files (densities, potentials etc.)",https://pypi.org/project/parse-fmt/,6233,stur86,https://pypi.org/user/stur86/
spacy-fastlang,Language detection using FastText and Spacy,https://pypi.org/project/spacy-fastlang/,17435,thomasthiebaud,https://pypi.org/user/thomasthiebaud/
facebookinsights,A wrapper and command-line interface for the Facebook Insights API.,https://pypi.org/project/facebookinsights/,43433,stdbrouw,https://pypi.org/user/stdbrouw/
umap-learn,Uniform Manifold Approximation and Projection,https://pypi.org/project/umap-learn/,6930557,lmcinnes,https://pypi.org/user/lmcinnes/
qermit,"error-mitigation framework, an extension to pytket",https://pypi.org/project/qermit/,1470,silasd,https://pypi.org/user/silasd/
PythonProject_KC,Python project template,https://pypi.org/project/PythonProject_KC/,5629,kchennen,https://pypi.org/user/kchennen/
